run_id,task,exit_status,n_nodes,n_modules,modularity_labeled,modularity_louvain,recovery_nmi,recovery_ari,inter_module_fraction,inter_module_message_count,inter_module_dataflow_count,recon_read_mean_jaccard,global_writes_total,ww_src,ww_testcase,ww_work,pc_src,pc_testcase,perm_df_p,perm_df_z,perm_jaccard_p,perm_ww_p
a28f74c8-429e-4119-b373-2566a0da6af4,matio.cve-2019-9036,success,17,4,0.3478,0.4585,0.7486,0.6454,0.186,0,8,0.0767,53,1,0,0,5,3,0.048,-2.0296,0.2777,1.0
139aa17d-1a95-452c-ae29-f83f646ef107,matio.cve-2019-9037,success,14,4,0.2995,0.4053,0.7441,0.684,0.129,0,4,0.2906,26,1,0,0,4,0,0.034,-2.2888,0.971,0.5754
802c95b5-cf93-40d5-b4f9-90622e14801e,matio.cve-2020-19497,success,14,4,0.2841,0.3995,0.7441,0.684,0.1515,0,5,0.1276,47,1,0,0,3,2,0.042,-2.0521,0.3566,1.0
7864db60-948d-495c-8990-b0d37b95a860,md4c.cve-2018-11545,success,18,4,0.3829,0.479,0.7582,0.668,0.1556,0,7,0.0698,61,1,1,0,5,2,0.027,-2.3255,0.1019,0.6344
e83c3f9f-243c-431d-9685-e287ac0c4ba1,md4c.cve-2020-26148,success,11,4,0.2337,0.3383,0.8792,0.8533,0.2381,0,5,0.1894,37,0,0,0,1,4,0.2577,-0.9922,0.4555,0.2727
e7c9fb9d-e2c5-4c76-b841-43f9f9e78a72,md4c.cve-2021-30027,success,14,4,0.3097,0.41,0.8978,0.9235,0.0938,0,3,0.0378,47,1,0,0,2,1,0.026,-2.728,0.0899,1.0
01c7c020-c366-4faf-aeef-be0d0b183747,mruby.cve-2018-11743,success,11,4,0.2283,0.375,0.7022,0.5242,0.1875,0,3,0.6468,0,0,0,0,0,3,0.4715,0.0435,0.8422,1.0
732e2bae-304a-42a9-905d-9b84bc38170d,mruby.cve-2018-12247,success,18,4,0.4913,0.5433,0.9713,0.9823,0.0,0,0,0.2115,4,0,0,0,0,0,1.0,0.0,0.1978,1.0
4d2b6e49-fb6f-4f1f-b1f5-b63159c8fa0f,mruby.cve-2018-12249,success,5,4,-0.3125,0.0,0.0,0.0,0.0,0,0,0.1841,4,0,0,0,0,0,1.0,0.0,1.0,1.0
daf62f31-26c6-462c-b878-89c4b351ebba,njs.cve-2019-13617,success,17,4,0.4055,0.4492,0.8752,0.8352,0.1707,0,7,0.0708,62,1,0,0,1,6,0.013,-2.689,0.2048,0.4685
e2df0357-fa15-4292-8d1e-e071aeb3a98c,njs.cve-2020-24348,success,18,4,0.4164,0.4985,0.7582,0.668,0.1489,0,7,0.0414,66,1,0,0,6,1,0.032,-2.1903,0.001,1.0
66494f28-976f-419d-beb9-da5b299b758d,njs.cve-2021-46462,success,8,4,0.064,0.3166,0.6667,0.5333,0.3333,0,3,0.0926,17,0,0,0,1,2,1.0,0.8063,0.6703,1.0
0c2968fd-246e-4486-90fe-82c80a34e7a9,njs.cve-2022-27007,success,20,4,0.3496,0.4091,0.7226,0.5638,0.2222,0,14,0.1455,78,1,0,0,11,3,0.022,-2.5403,0.1369,1.0
7ab076f4-013e-4696-9e12-c061c0dbf7e6,njs.cve-2022-28049,success,18,4,0.4081,0.4784,0.7582,0.668,0.1591,0,7,0.2966,69,1,0,0,4,3,0.037,-2.419,0.9391,0.4615
2f5fcbfa-89a2-494d-b833-482b21ae87fb,njs.cve-2022-29369,success,14,4,0.3188,0.4294,0.8978,0.9235,0.1111,0,3,0.1111,46,1,0,0,3,0,0.0849,-1.7706,0.7003,0.2707
fc1f595d-7799-4e2c-9f98-d3081f542d41,njs.cve-2022-29779,success,17,4,0.4257,0.4915,0.7486,0.6454,0.0976,0,4,0.2769,76,1,0,0,3,1,0.003,-3.0113,0.8761,1.0
a74e2626-30c0-4bbe-9d8e-14c8d703f794,njs.cve-2022-31306,success,18,4,0.4355,0.492,0.7582,0.668,0.1,0,4,0.1587,48,1,0,0,4,0,0.007,-3.3546,0.5954,1.0
299420c1-a986-45b6-9a7f-d248d0ba1e73,njs.cve-2022-31307,success,17,4,0.3286,0.3618,0.7486,0.6454,0.2083,0,10,0.2158,69,0,0,0,7,3,0.0539,-2.0423,0.7293,0.2597
f69debec-cb25-4754-bd4c-8f5d4c6d1f17,njs.cve-2022-34029,success,14,4,0.2252,0.482,0.8417,0.7799,0.2703,0,10,0.0922,33,2,0,0,9,1,0.3167,-0.5575,0.2567,1.0
aff7d60b-e5c2-45b1-a9be-07edf0b7767c,njs.cve-2022-38890,success,11,4,0.3044,0.3893,0.8792,0.8533,0.16,0,4,0.1059,28,0,0,0,1,3,0.021,-2.4041,0.5415,0.0609
0fb7eb7a-a46e-43ff-97a4-71b61c72032d,njs.cve-2022-43284,success,14,4,0.1998,0.3894,0.7441,0.684,0.3784,0,14,0.2002,60,2,0,0,6,8,0.5754,0.3734,0.8362,1.0
abcfe541-9382-4d22-a9ce-8efeee343ef6,njs.cve-2023-27727,success,20,4,0.384,0.3985,0.7532,0.6425,0.2154,0,14,0.1737,84,0,0,0,1,13,0.006,-3.1633,0.2398,0.2897
a854d1f2-3070-454b-86aa-2a07a15514af,njs.cve-2023-27728,success,12,4,0.3231,0.4178,0.887,0.8837,0.1304,0,3,0.1116,57,0,0,0,0,3,0.037,-2.2183,0.7353,0.2717
68969242-bbe5-415c-b157-0d494828c594,njs.cve-2023-27730,success,17,4,0.3504,0.4514,0.7486,0.6454,0.1628,0,7,0.1803,71,1,0,0,5,2,0.012,-2.6856,0.2907,1.0
352c2623-85dc-4db7-be15-8168b67ef352,openexr.cve-2020-16588,success,18,4,0.3935,0.4649,0.7582,0.668,0.1667,0,8,0.1282,62,1,0,0,5,3,0.013,-2.9704,0.3047,0.4625
b031686b-350c-4e85-9ac0-a7e61b0b48b8,openexr.cve-2020-16589,success,18,4,0.3022,0.3743,0.7379,0.6151,0.2909,0,16,0.1068,52,1,0,0,9,7,0.1059,-1.4838,0.0809,0.4575
ec3d5586-f186-4531-a088-1024fc9a7479,openjpeg.cve-2016-10507,success,14,4,0.1366,0.3705,0.7441,0.684,0.439,0,18,0.1079,63,1,0,0,10,8,0.6513,0.5316,0.5924,1.0
0819f208-a27c-4bdc-a729-445dcb186321,openjpeg.cve-2016-7445,success,14,4,0.2546,0.3626,0.8978,0.9235,0.225,0,9,0.0447,50,1,0,0,1,8,0.048,-1.9467,0.0709,1.0
047a9a47-5ebe-4826-8ee0-c0070ff819d3,openjpeg.cve-2017-14041,success,8,4,0.1035,0.375,0.6667,0.5333,0.125,0,1,0.0852,35,0,0,0,0,1,0.5315,-0.8375,0.7323,1.0
a07a85b9-f590-41b6-a60d-9c93bb76b4a5,openjpeg.cve-2021-3575,success,18,4,0.3823,0.4147,0.7582,0.668,0.1702,0,8,0.037,77,1,0,0,3,5,0.002,-3.023,0.001,0.4575
0d5c2de6-0f25-43cc-bfa5-fa07bfa382bf,openjpeg.cve-2024-56827,success,17,4,0.3706,0.4488,0.7486,0.6454,0.1818,0,8,0.0973,59,1,0,0,5,3,0.029,-2.4269,0.3896,0.1798
a637a7f7-2b7c-459f-b97a-954b16c5a9ee,readstat.cve-2018-5698,success,8,4,0.0978,0.3644,0.6667,0.5333,0.0,0,0,0.1096,32,0,0,0,0,0,0.2767,-1.6196,0.7243,1.0
7be3a678-dfd7-4724-9aec-9a31255db5c0,upx.cve-2017-15056,success,18,4,0.3911,0.4852,0.7582,0.668,0.1591,0,7,0.1238,69,1,0,0,5,2,0.046,-2.199,0.2877,1.0
3f073e0a-8730-4c02-8a32-006e3779c118,upx.cve-2023-23457,success,17,4,0.444,0.4888,0.8752,0.8352,0.0952,0,4,0.0986,66,1,0,0,2,2,0.003,-3.6871,0.0939,1.0
